ENVO:01000518	diapir
ENVO:00000403	shield volcano
ENVO:01001111	fossil worm burrow
ENVO:00010624	botanical garden
ENVO:01000731	igneous extrusion
ENVO:00000302	rift valley
ENVO:03500001	playground
ENVO:00000100	valley
ENVO:01001151	proplyd
ENVO:01001773	thrust fault
ENVO:00000265	guyot
ENVO:00000464	artificial harbor
ENVO:00000407	subglacial volcano
ENVO:00000530	apron
ENVO:00005745	allotment garden
ENVO:03501358	processing line
ENVO:00000064	road
ENVO:01001071	impact crater
ENVO:01000413	old plant
ENVO:01000348	maize field
ENVO:01000450	salt glacier
ENVO:03500002	public park
ENVO:00000391	land bridge
ENVO:01000443	salt mass
ENVO:00000436	tunnel valley
ENVO:00010625	zoological garden
ENVO:00000432	monadnock
ENVO:01000002	water well
ENVO:01000275	structural basin
ENVO:03501244	Bailey bridge
ENVO:03600087	greenhouse
ENVO:01000440	dacitic volcano
ENVO:03600033	residential backyard
ENVO:00000245	maar
ENVO:03501238	hillock
ENVO:03501249	suspension bridge
ENVO:00000311	kettle
ENVO:00000555	check dam
ENVO:01000736	phacolith
ENVO:00000247	volcano
ENVO:01000522	latrine pit
ENVO:01001538	frost-formed hummock
ENVO:00000478	range of mounts
ENVO:02000157	municipal landfill
ENVO:00000289	horst
ENVO:00000413	pingo
ENVO:00000468	hydroelectric dam
ENVO:00000421	wave-cut platform
ENVO:00000438	alas
ENVO:01000649	trench
ENVO:00002185	oil reservoir
ENVO:00000046	hedge
ENVO:03600039	fermentation pit
ENVO:01000360	solutional cave
ENVO:01001481	public prison
ENVO:03600020	tailings dam
ENVO:01000468	fence
ENVO:01000424	patio
ENVO:02000133	nuclear reactor
ENVO:00000127	badland
ENVO:00000335	polygonal karst
ENVO:00000257	flood fringe
ENVO:03600068	ice wedge
ENVO:03500004	bike path
ENVO:02000143	sugar refinery
ENVO:00000304	shore
ENVO:02000135	fast neutron reactor
ENVO:00000081	mountain
ENVO:01001873	hatchery
ENVO:01000333	hillside
ENVO:03501351	ground transport
ENVO:00000082	hill range
ENVO:00000066	man-made tunnel
ENVO:00009726	strand crack
ENVO:00000011	garden
ENVO:00000560	nuclear weapons test site
ENVO:00000071	fault cave
ENVO:06105012	biota
ENVO:01000632	chonolith
ENVO:03600032	embankment dam
ENVO:00000096	caldera
ENVO:00000357	lock
ENVO:00002061	oil spill
ENVO:00000250	medial moraine
ENVO:01000364	glacier cave
ENVO:00000068	tunnel
ENVO:00000076	mine
ENVO:00000075	bridge
ENVO:00000284	quarry
ENVO:00000481	pinnacle
ENVO:01000352	field
ENVO:00000526	cliff cleft
ENVO:00000561	military training area
ENVO:00000371	complex volcano
ENVO:00000181	nunatak
ENVO:01000466	boundary wall
ENVO:00000499	trough
ENVO:03600076	waste stabilization pond
ENVO:01001280	driveway
ENVO:01000446	ravine
ENVO:00000084	mountain pass
ENVO:01000805	globular star cluster
ENVO:01001851	geothermally active field
ENVO:00000554	saddle dam
ENVO:01000659	igneous intrusion
ENVO:00000255	flood plain
ENVO:00000551	endorheic basin
ENVO:00000030	dead cave
ENVO:00000254	till plain
ENVO:00000370	tuya
ENVO:03600063	tube well
ENVO:01000907	feasting pit site
ENVO:00000258	alluvial plain
ENVO:01000966	private swimming pool
ENVO:00000282	esker
ENVO:00000065	railway
ENVO:01000498	pole
ENVO:00000474	cut
ENVO:00000291	drainage basin
ENVO:00000404	stratovolcano
ENVO:02000142	petroleum oil refinery
ENVO:00000080	mountain range
ENVO:00000067	cave
ENVO:01001775	blind thrust fault
ENVO:03501365	bucket conveyor
ENVO:03501212	handrail
ENVO:01000673	shear fracture
ENVO:00000460	penplain
ENVO:00000473	gravel pit
ENVO:01000780	public road
ENVO:00000553	multipurpose dam
ENVO:03501246	footbridge
ENVO:00000477	mount
ENVO:00000543	swale
ENVO:01001854	hydrothermal field
ENVO:00012411	karst cave
ENVO:01000319	rocky slope
ENVO:00000028	sand pit quarry
ENVO:00000400	cinder cone
ENVO:06105106	plastisphere
ENVO:03500003	public sports field
ENVO:03600062	fountain
ENVO:00000286	polder
ENVO:01000733	stock
ENVO:01000968	water intake
ENVO:00000259	lacustrine plain
ENVO:01001568	frost heave
ENVO:03501355	public-private prison
ENVO:02000093	uranium mine
ENVO:03501239	riverfront
ENVO:00000157	peat cut
ENVO:03600083	mofetta
ENVO:03600031	earth-filled dam
ENVO:00000295	fish hatchery
ENVO:00000184	hanging valley
ENVO:00000321	joint-plane cave
ENVO:01000943	vegetated hill
ENVO:00000110	lava tunnel
ENVO:00000542	kame
ENVO:01000664	tuff cone
ENVO:00000559	weapons test site
ENVO:00000171	river valley
ENVO:03000132	firebreak
ENVO:00000312	sandur
ENVO:01000429	burrow
ENVO:02000110	open-pit mine
ENVO:00000180	mound
ENVO:03501198	wet market
ENVO:01000361	primary cave
ENVO:00000419	stack
ENVO:00000251	ground moraine
ENVO:00000520	landslide
ENVO:00000430	dirt cone
ENVO:00002205	unexploded-ordnance dump
ENVO:02000137	nuclear power reactor
ENVO:00000249	lateral moraine
ENVO:00000086	plain
ENVO:00000381	massif
ENVO:01000671	dike
ENVO:00000433	kame terrace
ENVO:03501366	screw conveyor
ENVO:01000987	market
ENVO:00000441	terracette
ENVO:00000535	weir
ENVO:00000522	canal tunnel
ENVO:03600021	tailings pond
ENVO:00000217	solfatara
ENVO:00000128	dry valley
ENVO:01000363	erosional cave
ENVO:00000437	Nye channel
ENVO:01000807	galaxy
ENVO:01000437	lava field
ENVO:00000537	boulder field
ENVO:00000440	rock shelter
ENVO:00000177	moraine
ENVO:00000401	spatter cone
ENVO:00002169	coal mine
ENVO:00000463	harbour
ENVO:00000562	park
ENVO:00000293	continental divide
ENVO:03501282	hangar
ENVO:03501336	place of worship
ENVO:03600093	artificial satellite
ENVO:00000089	inland cliff
ENVO:00002168	gold mine
ENVO:01000967	public swimming pool
ENVO:00000323	live cave
ENVO:03600014	pipeline network
ENVO:00010442	midden
ENVO:03501309	booth
ENVO:00000545	shingle beach
ENVO:03000117	channel
ENVO:01000419	domestic garden
ENVO:00000350	somma volcano
ENVO:00000195	sinkhole
ENVO:00000325	polje
ENVO:01001281	paved parking lot
ENVO:00000280	escarpment
ENVO:00010358	fomite
ENVO:00000514	crater
ENVO:0010162	dry stream valley
ENVO:00000248	glacial valley
ENVO:01000732	clastic dike
ENVO:01001104	rift zone
ENVO:01000365	ice cave
ENVO:00000290	graben
ENVO:00004683	karst field
ENVO:06105110	manufactured plastisphere
ENVO:01000302	outcrop
ENVO:03501247	humpback bridge
ENVO:03501248	overpass
ENVO:01000525	rock intrusion
ENVO:01000278	pingo scar
ENVO:01000935	campground
ENVO:00000122	track
ENVO:00000556	wing dam
ENVO:00000308	dune slack
ENVO:00000402	mud volcano
ENVO:01000367	anchialine cave
ENVO:03600053	yard
ENVO:03000143	cryosphere
ENVO:00000313	blowout
ENVO:01000369	vadose cave
ENVO:00000216	fumarole
ENVO:00000470	irrigation dam
ENVO:01001489	spur
ENVO:03501367	pneumatic conveyor
ENVO:02000134	thermal nuclear reactor
ENVO:00000252	terminal moraine
ENVO:00000439	dell
ENVO:01001173	sacred site
ENVO:00000333	subjacent karst
ENVO:01000983	technosphere
ENVO:0010163	dry river valley
ENVO:01000936	dedicated campground
ENVO:01001357	desert
ENVO:01000779	public infrastructure
ENVO:00000292	watershed
ENVO:00000527	interfluve
ENVO:00000263	fissure cave
ENVO:00000411	ford
ENVO:00000276	drumlin
ENVO:00000175	karst
ENVO:03501122	airport
ENVO:00000429	arete
ENVO:01000820	pedosphere
ENVO:00000557	dry dam
ENVO:00000320	crevasse
ENVO:00000521	rockfall
ENVO:00000310	meteor impact crater
ENVO:00000399	ash cone
ENVO:01000414	young plant
ENVO:01000734	laccolith
ENVO:02000092	iron mine
ENVO:01000674	microfracture
ENVO:03501245	drawbridge
ENVO:00000431	drumlin field
ENVO:03600080	industrial park
ENVO:03501250	swing bridge
ENVO:00000418	ria
ENVO:02000144	natural gas processing plant
ENVO:03501281	bowling alley
ENVO:01000003	oil well
ENVO:00000155	cirque
ENVO:00000031	wadi
ENVO:01000332	gravelly slope
ENVO:00000001	bedding-plane cave
ENVO:03600061	shipwreck
ENVO:01001665	soil cryoturbate
ENVO:03501182	clinic
ENVO:00000329	phreatic zone
ENVO:00000529	beach ridge
ENVO:00000277	dry lake
ENVO:01000985	fairground
ENVO:01000937	impromptu campground
ENVO:00000336	doline karst
ENVO:00000158	causeway
ENVO:00000536	moatan
ENVO:00002226	borehole
ENVO:01000334	talus slope
ENVO:01000362	inflationary cave
ENVO:03501117	transport hub
ENVO:01000670	vein
ENVO:03600090	alcohol fermentation pit
ENVO:00002199	sandy beach
ENVO:01000526	sedimentary intrusion
ENVO:03501199	dry market
ENVO:00000083	hill
ENVO:00000372	pyroclastic shield volcano
ENVO:00000074	dam
ENVO:00000253	scroll plane
ENVO:00000496	rill
ENVO:00000146	snow field
ENVO:00000567	calanque
ENVO:01000822	planetary photic zone
ENVO:00000508	terrace
ENVO:00000356	pyroclastic cone
ENVO:00000091	beach
ENVO:01001453	terrestrial mountain
ENVO:00000087	cliff
ENVO:01000737	sill
ENVO:01000521	batholith
ENVO:00000480	peak
ENVO:00000516	hummock
ENVO:00000410	kipuka
ENVO:00000444	woodland clearing
ENVO:00000390	mountain spur
ENVO:00000129	stream valley
ENVO:03600003	drinking water pipeline network
ENVO:03600012	oil pipeline network
ENVO:00000179	mesa
ENVO:03600066	halite
ENVO:01001279	sidewalk
ENVO:00000563	pier
ENVO:00000169	canyon
ENVO:03000144	planetary cryosphere
ENVO:00000297	paddy field
ENVO:01001874	poultry hatchery
ENVO:01000923	petting zoo
ENVO:03501118	public transport hub
ENVO:03501205	private prison
ENVO:01000806	nebula
ENVO:03600091	clay fermentation pit
ENVO:01000439	andesitic volcano
ENVO:00000422	limestone pavement
ENVO:00002000	slope
ENVO:01000366	talus cave
ENVO:00000548	gravel field
ENVO:00000287	butte
ENVO:00000558	diversionary dam
ENVO:00000283	ridge
ENVO:01001490	intrusion
ENVO:00000026	well
ENVO:01001150	protoplanetary disk
ENVO:01000505	salt dome
ENVO:00000334	syngenetic karst
ENVO:00000533	landfill
ENVO:00002167	platinum mine
ENVO:00000170	dune
ENVO:03501255	water trough
ENVO:00000174	isthmus
ENVO:01001278	concrete road
ENVO:00000244	abyssal plain
ENVO:00000281	fault escarpment
ENVO:01000735	lopolith
ENVO:00000414	natural arch
ENVO:00000465	natural harbor
ENVO:03501338	human nursery
ENVO:01001870	gas well
ENVO:00000461	pseudocrater
ENVO:00000256	floodway
ENVO:00000515	road cut
ENVO:01001871	pit
ENVO:01000294	crevice
ENVO:01000359	limestone cave
ENVO:00000182	plateau
ENVO:00000564	archeological site
ENVO:02000141	refinery
ENVO:00000471	flood control dam
ENVO:00000434	outwash fan
ENVO:01001491	flattened elevation
ENVO:01000863	overflow structure
ENVO:00000332	doline
ENVO:00000417	machair
ENVO:00000324	outflow cave
ENVO:00000524	abandoned watercourse
