s	slab	p	plab	p_lab_or_id	o	olab	slab_olab_cosine
ENVO:00001998	soil	BFO:0000050	part of	part of	ENVO:01000820	pedosphere	0.31622776601683794
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:00002982	clay	0.25
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:01000016	silt	0.75
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:01000017	sand	0.25
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:01000155	organic material	0.375
ENVO:00001998	soil	BFO:0000051	has part	has part	ENVO:01000256	mineral material	0.25
ENVO:00001998	soil	RO:0000086	has quality	has quality	PATO:0000984	porous	0.4082482904638631
ENVO:00001998	soil	RO:0000091	has disposition	has disposition	ENVO:06105304	water-holding capacity of soil	0.3651483716701107
ENVO:00002230	anthrosol	RO:0002353	output of	output of	ENVO:01000952	anthropisation	0.7126966450997984
ENVO:00002236	cryosol	BFO:0000050	part of	part of	ENVO:00000134	permafrost	0.35856858280031806
ENVO:00002258	loam	RO:0000053	has characteristic	has characteristic	ENVO:06105271	soil texture	0.2886751345948129
ENVO:00002259	agricultural soil	BFO:0000050	part of	part of	ENVO:00000077	agricultural ecosystem	0.7756315349925288
ENVO:00002260	dune soil	BFO:0000050	part of	part of	ENVO:00000170	dune	0.6666666666666666
ENVO:00002261	forest soil	RO:0001025	located in	located in	ENVO:00000111	forested area	0.5853694070049635
ENVO:00002262	clay soil	RO:0002473	composed primarily of	composed primarily of	ENVO:00002982	clay	0.6666666666666666
ENVO:00002263	garden soil	BFO:0000050	part of	part of	ENVO:00000011	garden	0.7385489458759964
ENVO:00002263	garden soil	RO:0001025	located in	located in	ENVO:00000011	garden	0.7385489458759964
ENVO:00002275	technosol	BFO:0000050	part of	part of	ENVO:01000983	technosphere	0.6735753140545634
ENVO:00002871	alluvial soil	RO:0002353	output of	output of	ENVO:01001346	erosion	0.3144854510165755
ENVO:00002871	alluvial soil	RO:0002354	formed as result of	formed as result of	ENVO:01000982	water flow process	0.3268602252303067
ENVO:00002871	alluvial soil	RO:0002354	formed as result of	formed as result of	ENVO:01001346	erosion	0.3144854510165755
ENVO:00005740	paddy field soil	BFO:0000050	part of	part of	ENVO:00000297	paddy field	0.82915619758885
ENVO:00005743	roadside soil	RO:0001025	located in	located in	ENVO:01000447	roadside	0.7844645405527362
ENVO:00005744	allotment garden soil	BFO:0000050	part of	part of	ENVO:00005745	allotment garden	0.8728715609439696
ENVO:00005746	savanna soil	RO:0001025	located in	located in	ENVO:00000261	savanna	0.7637626158259734
ENVO:00005747	compost soil	RO:0001000	derives from	derives from	ENVO:00002170	compost	0.7637626158259734
ENVO:00005748	dry soil	RO:0000086	has quality	has quality	PATO:0001824	dry	0.6123724356957946
ENVO:00005750	grassland soil	RO:0001025	located in	located in	ENVO:00000106	grassland area	0.7142857142857143
ENVO:00005755	field soil	BFO:0000050	part of	part of	ENVO:00000114	agricultural field	0.5962847939999439
ENVO:00005758	alluvial swamp soil	BFO:0000050	part of	part of	ENVO:00000233	swamp ecosystem	0.47387910220727386
ENVO:00005760	burned soil	RO:0002353	output of	output of	ENVO:01000839	combustion process	0.6396021490668313
ENVO:00005761	meadow soil	BFO:0000050	part of	part of	ENVO:00000108	meadow ecosystem	0.6784005252999682
ENVO:00005764	pond soil	RO:0002220	adjacent to	adjacent to	ENVO:00000033	pond	0.6666666666666666
ENVO:00005769	mountain forest soil	BFO:0000050	part of	part of	ENVO:00000081	mountain	0.6324555320336759
ENVO:00005771	muddy soil	RO:0002473	composed primarily of	composed primarily of	ENVO:01000001	mud	0.5477225575051661
ENVO:00005772	orchard soil	BFO:0000050	part of	part of	ENVO:00000115	orchard	0.7637626158259734
ENVO:00005772	orchard soil	RO:0001025	located in	located in	ENVO:00000115	orchard	0.7637626158259734
ENVO:00005773	pasture soil	RO:0001025	located in	located in	ENVO:00000266	pasture	0.7637626158259734
ENVO:00005777	steppe soil	RO:0001025	located in	located in	ENVO:00000262	steppe	0.7385489458759964
ENVO:00005786	upland soil	BFO:0000050	part of	part of	ENVO:00000176	elevated landform	0.5118906968889915
ENVO:00005788	rubber plantation soil	BFO:0000050	part of	part of	ENVO:00000164	rubber plantation	0.8790490729915326
ENVO:01001185	acidic soil	RO:0000086	has quality	has quality	PATO:0001429	acidic	0.7385489458759964
ENVO:01001525	hard-frozen soil	BFO:0000051	has part	has part	ENVO:01000277	water ice	0.4166666666666667
ENVO:01001525	hard-frozen soil	RO:0000086	has quality	has quality	PATO:0000386	hard	0.5
ENVO:01001526	frozen soil	BFO:0000050	part of	part of	ENVO:01001524	frozen land	0.7272727272727273
ENVO:01001526	frozen soil	RO:0000086	has quality	has quality	PATO:0001985	frozen	0.7385489458759964
ENVO:01001527	plastic-frozen soil	BFO:0000051	has part	has part	ENVO:00002006	liquid water	0.5298129428260175
ENVO:01001528	friable-frozen soil	BFO:0000051	has part	has part	ENVO:01000277	water ice	0.45883146774112354
ENVO:01001528	friable-frozen soil	RO:0000086	has quality	has quality	PATO:0000386	hard	0.22941573387056174
ENVO:01001616	bare soil	RO:0002220	adjacent to	adjacent to	ENVO:01000540	troposphere	0.40201512610368484
ENVO:02000138	mangrove biome soil	RO:0001025	located in	located in	ENVO:01000181	mangrove biome	0.8583950752789522
ENVO:06105205	compacted soil	RO:0000086	has quality	has quality	PATO:0001485	condensed	0.44543540318737396
ENVO:00000044	peatland	RO:0002473	composed primarily of	composed primarily of	ENVO:00005774	peat soil	0.5892556509887896
ENVO:00000258	alluvial plain	RO:0002473	composed primarily of	composed primarily of	ENVO:00002871	alluvial soil	0.8153742483272113
ENVO:00000314	alluvial fan	RO:0002473	composed primarily of	composed primarily of	ENVO:00002871	alluvial soil	0.7205766921228921
ENVO:00000413	pingo	ENVO:01001307	partially_surrounded_by	partially_surrounded_by	ENVO:00001998	soil	0.4472135954999579
ENVO:00005776	peaty paddy field soil	ENVO:02000200	has increased levels of	has increased levels of	ENVO:00005774	peat soil	0.6396021490668313
ENVO:00005801	rhizosphere	BFO:0000050	part of	part of	ENVO:00001998	soil	0.45226701686664544
ENVO:01000001	mud	BFO:0000051	has part	has part	ENVO:00001998	soil	0.0
ENVO:01000698	debris flow	RO:0000057	has participant	has participant	ENVO:00001998	soil	0.6030226891555273
ENVO:01000706	soil erosion	RO:0000057	has participant	has participant	ENVO:00001998	soil	0.5773502691896258
ENVO:01000820	pedosphere	RO:0002473	composed primarily of	composed primarily of	ENVO:00001998	soil	0.31622776601683794
ENVO:01001044	soil environment	RO:0002507	determined by	determined by	ENVO:00001998	soil	0.5
ENVO:01001664	cryoturbation of soil	RO:0000057	has participant	has participant	ENVO:00001998	soil	0.4364357804719848
ENVO:02000122	peat drainage	BFO:0000066	occurs in	occurs in	ENVO:00005774	peat soil	0.554700196225229
ENVO:02500038	soil pollution	BFO:0000066	occurs in	occurs in	ENVO:00001998	soil	0.5345224838248488
ENVO:03000008	compaction process	RO:0002234	has output	has output	ENVO:06105205	compacted soil	0.7559289460184544
ENVO:04000008	soil organic matter	BFO:0000050	part of	part of	ENVO:00001998	soil	0.4588314677411235
ENVO:04000011	bare soil surface layer	RO:0002473	composed primarily of	composed primarily of	ENVO:01001616	bare soil	0.6255432421712243
ENVO:06105232	soil albedo	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.6030226891555273
ENVO:06105241	soil drainage	BFO:0000066	occurs in	occurs in	ENVO:00001998	soil	0.5547001962252291
ENVO:06105266	soil layer	RO:0002473	composed primarily of	composed primarily of	ENVO:00001998	soil	0.6324555320336759
ENVO:06105271	soil texture	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.5773502691896258
ENVO:06105272	loamy sand	BFO:0000051	has part	has part	ENVO:00002258	loam	0.6324555320336759
ENVO:06105304	water-holding capacity of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.3651483716701107
ENVO:09000028	evaporation of liquid water in soil	BFO:0000066	occurs in	occurs in	ENVO:00001998	soil	0.3380617018914066
ENVO:09200005	mass density of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.4472135954999579
ENVO:09200009	structure of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.48507125007266594
ENVO:09200010	acidity of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.5163977794943222
ENVO:09200012	temperature of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.4588314677411235
ENVO:09200013	wetness of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.5163977794943222
ENVO:09200015	humidity of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.5
ENVO:09200016	conductivity of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.4472135954999579
ENVO:09200021	color of soil	RO:0000052	characteristic of	characteristic of	ENVO:00001998	soil	0.5547001962252291
ENVO:09200029	thickness of topsoil	RO:0000052	characteristic of	characteristic of	ENVO:02000059	surface soil	0.5809475019311126
ENVO:2000008	lignite	RO:0001000	derives from	derives from	ENVO:00005774	peat soil	0.5039526306789696
